	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
PPP2R2B	3.65299122259312e-79	0.346359434924987	0.695	0.428	7.30598244518624e-76	T/NK1	PPP2R2B
SYTL2	5.05785399958819e-78	0.426001092558895	0.876	0.646	1.01157079991764e-74	T/NK1	SYTL2
ACAP1	5.69773693113733e-78	0.682879481246865	0.86	0.874	1.13954738622747e-74	T/NK1	ACAP1
GIMAP7	5.84059546029216e-75	0.709836965823311	0.886	0.896	1.16811909205843e-71	T/NK1	GIMAP7
ITGAL	1.45951734604414e-74	0.691427806994918	0.782	0.645	2.91903469208827e-71	T/NK1	ITGAL
GBP5	2.17247575963589e-74	0.535595735230988	0.778	0.826	4.34495151927178e-71	T/NK1	GBP5
LCP1	3.1543587798934e-72	0.83057730627555	0.962	0.935	6.3087175597868e-69	T/NK1	LCP1
PTPN7	1.48426211484249e-71	0.721076724392976	0.763	0.73	2.96852422968498e-68	T/NK1	PTPN7
SLAMF7	4.84703161776342e-69	0.537589263755984	0.863	0.783	9.69406323552684e-66	T/NK1	SLAMF7
LINC01871	1.27773112753267e-68	0.674140740392213	0.869	0.755	2.55546225506533e-65	T/NK1	LINC01871
SYNE2	1.42337684934865e-68	0.760866375123586	0.956	0.86	2.84675369869731e-65	T/NK1	SYNE2
DNAJB1	1.01708040543995e-67	0.8930581526336	0.964	0.82	2.0341608108799e-64	T/NK1	DNAJB1
ADGRE5	2.58867031831534e-67	0.811524814869371	0.886	0.666	5.17734063663069e-64	T/NK1	ADGRE5
TPRG1	4.38176957493608e-67	0.25959244582086	0.838	0.825	8.76353914987216e-64	T/NK1	TPRG1
RGS1	8.47529420394526e-67	1.00959870215023	0.945	0.812	1.69505884078905e-63	T/NK1	RGS1
NUCB2	1.15868631438115e-65	0.599753684516871	0.926	0.731	2.31737262876231e-62	T/NK1	NUCB2
LSP1	4.79385699515165e-65	0.741183450623615	0.948	0.859	9.58771399030331e-62	T/NK1	LSP1
CD48	1.05694188683778e-64	0.662366233528063	0.987	0.858	2.11388377367556e-61	T/NK1	CD48
YES1	9.97097879295805e-64	0.399842495915013	0.903	0.804	1.99419575859161e-60	T/NK1	YES1
INPP4B	1.32161748605777e-62	0.489076796221807	0.901	0.793	2.64323497211554e-59	T/NK1	INPP4B
TP53BP2	5.93079150599248e-62	0.326390889813081	0.82	0.527	1.1861583011985e-58	T/NK1	TP53BP2
KIF21A	6.30066466666417e-62	0.524419821332142	0.862	0.715	1.26013293333283e-58	T/NK1	KIF21A
SH3BGRL3	5.70525244599735e-57	0.764613024618817	0.977	0.928	1.14105048919947e-53	T/NK1	SH3BGRL3
FYB1	1.89624224226845e-56	0.742938485629943	0.978	0.873	3.7924844845369e-53	T/NK1	FYB1
DIAPH1	5.66208996859441e-56	0.617826061528685	0.905	0.812	1.13241799371888e-52	T/NK1	DIAPH1
STK17A	3.96261584706727e-55	0.734039304525475	0.851	0.647	7.92523169413453e-52	T/NK1	STK17A
GPR171	5.04809756174038e-55	0.410312387601773	0.714	0.785	1.00961951234808e-51	T/NK1	GPR171
STK4	8.7821638798073e-55	0.715762859286741	0.954	0.89	1.75643277596146e-51	T/NK1	STK4
SLFN5	9.11064445543284e-54	0.604334311012173	0.843	0.813	1.82212889108657e-50	T/NK1	SLFN5
METRNL	1.78225242456786e-53	0.823419496136094	0.95	0.864	3.56450484913571e-50	T/NK1	METRNL
C12orf75	1.59947628529892e-50	0.525209780328913	0.751	0.737	3.19895257059785e-47	T/NK1	C12orf75
CLEC2B	2.06109942981763e-49	0.680241960209199	0.979	0.896	4.12219885963526e-46	T/NK1	CLEC2B
SLA	5.26830495476573e-49	0.776179157202007	0.843	0.733	1.05366099095315e-45	T/NK1	SLA
PPP1R16B	5.2895431789039e-49	0.383373756497764	0.809	0.761	1.05790863578078e-45	T/NK1	PPP1R16B
PITPNC1	2.08200421661477e-48	0.479191978529454	0.798	0.704	4.16400843322953e-45	T/NK1	PITPNC1
CD52	1.35473800218087e-46	0.440694018423929	0.985	0.905	2.70947600436175e-43	T/NK1	CD52
DUSP5	1.85911141792729e-46	0.429390851504652	0.899	0.707	3.71822283585457e-43	T/NK1	DUSP5
IDH2	8.9246479938035e-46	0.311397422660501	0.903	0.721	1.7849295987607e-42	T/NK1	IDH2
CYTOR	1.59858314326589e-44	0.580484509484925	0.788	0.73	3.19716628653179e-41	T/NK1	CYTOR
CORO1A	2.33359028770004e-44	0.594568199278799	0.951	0.869	4.66718057540008e-41	T/NK1	CORO1A
NEDD9	5.63257487663309e-44	0.389082025741523	0.891	0.695	1.12651497532662e-40	T/NK1	NEDD9
EMB	8.43952736200045e-44	0.696488963262919	0.95	0.895	1.68790547240009e-40	T/NK1	EMB
CDC42SE2	1.72777612044344e-43	0.609943185222655	0.948	0.912	3.45555224088688e-40	T/NK1	CDC42SE2
AREG	4.07697678386602e-43	0.641121656165877	0.856	0.634	8.15395356773204e-40	T/NK1	AREG
MYBL1	1.73873450543584e-42	0.515955646261087	0.835	0.862	3.47746901087167e-39	T/NK1	MYBL1
STK17B	4.84479201228192e-41	0.660544217062794	0.977	0.953	9.68958402456385e-38	T/NK1	STK17B
SAMSN1	9.3826647236312e-41	0.394715764543725	0.99	0.887	1.87653294472624e-37	T/NK1	SAMSN1
ARHGEF3	1.30714152197045e-40	0.26430493077824	0.614	0.717	2.61428304394089e-37	T/NK1	ARHGEF3
ARL4C	2.96390716029274e-40	0.547839211686873	0.977	0.957	5.92781432058549e-37	T/NK1	ARL4C
GNG2	9.9928514330487e-40	0.660068066129351	0.877	0.798	1.99857028660974e-36	T/NK1	GNG2
HIST1H4C	1.91534862713327e-39	0.619384244433996	0.855	0.718	3.83069725426655e-36	T/NK1	HIST1H4C
TSC22D3	8.99846304648701e-39	0.522775201656658	0.976	0.915	1.7996926092974e-35	T/NK1	TSC22D3
CRYBG1	3.77834803849562e-38	0.656996695399082	0.78	0.626	7.55669607699125e-35	T/NK1	CRYBG1
LRBA	1.62875402358944e-37	0.311907885605869	0.835	0.688	3.25750804717888e-34	T/NK1	LRBA
CYTIP	1.90792695601208e-37	0.547889288854513	0.942	0.868	3.81585391202417e-34	T/NK1	CYTIP
OCIAD2	1.15110969312643e-36	0.310183588051114	0.666	0.733	2.30221938625287e-33	T/NK1	OCIAD2
EZR	1.3009662071526e-36	0.567673376654965	0.994	0.93	2.60193241430521e-33	T/NK1	EZR
HEBP2	2.24758345054069e-36	0.347468580955652	0.885	0.698	4.49516690108137e-33	T/NK1	HEBP2
GIMAP4	1.07956694145118e-35	0.511332935897166	0.87	0.822	2.15913388290236e-32	T/NK1	GIMAP4
LBH	2.77308310087798e-35	0.501595972662519	0.846	0.816	5.54616620175597e-32	T/NK1	LBH
GALNT3	6.84721190730577e-35	0.263201935290229	0.821	0.775	1.36944238146115e-31	T/NK1	GALNT3
IPCEF1	2.12196669496348e-34	0.417427322305185	0.662	0.603	4.24393338992696e-31	T/NK1	IPCEF1
TNFAIP3	5.75190782567983e-34	0.433421632399099	0.968	0.895	1.15038156513597e-30	T/NK1	TNFAIP3
HMGB2	3.75589419879838e-31	0.630343922581134	0.854	0.773	7.51178839759676e-28	T/NK1	HMGB2
JADE1	4.45326395463854e-31	0.266374987430314	0.833	0.678	8.90652790927708e-28	T/NK1	JADE1
MT-CO2	9.62256698136928e-31	0.28857530659429	1	0.996	1.92451339627386e-27	T/NK1	MT-CO2
CIB1	1.31122361283477e-30	0.426288791717747	0.907	0.773	2.62244722566954e-27	T/NK1	CIB1
ANXA1	2.01973370729637e-30	0.41944379809845	0.985	0.956	4.03946741459273e-27	T/NK1	ANXA1
TRAPPC6A	3.52566233245286e-30	0.319318078993686	0.837	0.667	7.05132466490573e-27	T/NK1	TRAPPC6A
BIN2	1.93237585669734e-28	0.468108746487782	0.862	0.807	3.86475171339469e-25	T/NK1	BIN2
TCF7	9.06525278833882e-28	0.26609450109404	0.8	0.621	1.81305055766776e-24	T/NK1	TCF7
RCAN3	4.67396690435091e-27	0.405590917219229	0.885	0.842	9.34793380870181e-24	T/NK1	RCAN3
PDE4D	1.23555257743158e-26	0.278922966564129	0.975	0.919	2.47110515486315e-23	T/NK1	PDE4D
ISG20	2.40575588753521e-26	0.274607303496127	0.809	0.669	4.81151177507043e-23	T/NK1	ISG20
APBB1IP	2.53214378746532e-26	0.431174166098643	0.948	0.876	5.06428757493063e-23	T/NK1	APBB1IP
SPON2	1.09621987784405e-25	0.292592909042658	0.553	0.39	2.1924397556881e-22	T/NK1	SPON2
TRAT1	1.11101107983405e-25	0.280146940355791	0.775	0.788	2.2220221596681e-22	T/NK1	TRAT1
ALOX5AP	1.13272252428899e-25	0.508164841670039	0.887	0.864	2.26544504857798e-22	T/NK1	ALOX5AP
RPL28	3.06013834319911e-25	0.270013946237497	0.977	0.99	6.12027668639821e-22	T/NK1	RPL28
PTGER4	1.44763563592624e-24	0.297437355668054	0.967	0.863	2.89527127185248e-21	T/NK1	PTGER4
TAP1	2.44643986352645e-24	0.355575618129689	0.825	0.748	4.8928797270529e-21	T/NK1	TAP1
S100A10	5.43718999648011e-24	0.342566221033899	0.973	0.954	1.08743799929602e-20	T/NK1	S100A10
VPS37B	5.47989121753835e-23	0.282722435539411	0.756	0.82	1.09597824350767e-19	T/NK1	VPS37B
RPS3	6.66015139417771e-23	0.337688550257907	0.999	0.995	1.33203027883554e-19	T/NK1	RPS3
GPRIN3	2.4446219647376e-22	0.400864920717701	0.924	0.856	4.88924392947519e-19	T/NK1	GPRIN3
BCL2L11	2.99449947033631e-21	0.281601806274503	0.784	0.622	5.98899894067262e-18	T/NK1	BCL2L11
DDIT4	1.26721142223583e-20	0.369780039178049	0.812	0.829	2.53442284447167e-17	T/NK1	DDIT4
ZNF217	2.84916494295222e-20	0.313251750070194	0.796	0.657	5.69832988590444e-17	T/NK1	ZNF217
CCND2	5.0371514752945e-20	0.314043781613905	0.824	0.894	1.0074302950589e-16	T/NK1	CCND2
IKZF1	8.34131356401232e-20	0.491559052935976	0.804	0.807	1.66826271280246e-16	T/NK1	IKZF1
AC058791.1	2.54921178464145e-19	0.385930713789196	0.936	0.868	5.0984235692829e-16	T/NK1	AC058791.1
ACTG1	2.74741168443223e-19	0.395198789483635	0.993	0.962	5.49482336886447e-16	T/NK1	ACTG1
STOM	2.94766394580145e-19	0.310928010277175	0.893	0.8	5.8953278916029e-16	T/NK1	STOM
PRKX	1.18806732718921e-18	0.305602679513723	0.754	0.72	2.37613465437842e-15	T/NK1	PRKX
HIST1H1C	2.25919570053863e-16	0.256758095316712	0.855	0.798	4.51839140107726e-13	T/NK1	HIST1H1C
HLA-E	4.77776006171733e-16	0.376321398176069	0.989	0.988	9.55552012343466e-13	T/NK1	HLA-E
ID2	6.10584691804077e-16	0.479124551102305	0.893	0.847	1.22116938360815e-12	T/NK1	ID2
IL10RA	3.51591051398797e-15	0.33513622227094	0.927	0.886	7.03182102797594e-12	T/NK1	IL10RA
CREM	3.81993452724282e-15	0.402158069110686	0.947	0.945	7.63986905448564e-12	T/NK1	CREM
ARHGAP26	1.21410106448378e-14	0.269170122328408	0.766	0.781	2.42820212896757e-11	T/NK1	ARHGAP26
CD44	6.66662231856189e-14	0.285267026357189	0.95	0.873	1.33332446371238e-10	T/NK1	CD44
EVI2A	9.28164940303958e-14	0.360252312538209	0.759	0.691	1.85632988060792e-10	T/NK1	EVI2A
ACTN4	1.90210832657369e-13	0.352379603503241	0.742	0.714	3.80421665314739e-10	T/NK1	ACTN4
SLC7A5	3.77462610042615e-13	0.260643014868911	0.739	0.72	7.54925220085231e-10	T/NK1	SLC7A5
KPNA2	6.84518041477839e-13	0.299401360339196	0.791	0.74	1.36903608295568e-09	T/NK1	KPNA2
GMFG	2.80417291161058e-11	0.328350534121352	0.944	0.889	5.60834582322117e-08	T/NK1	GMFG
IK	5.48194181958243e-10	0.351095587923766	0.881	0.837	1.09638836391649e-06	T/NK1	IK
JPT1	2.80799669419622e-09	0.272175722449932	0.758	0.734	5.61599338839243e-06	T/NK1	JPT1
DOCK10	1.22539910592361e-08	0.299166619360948	0.902	0.858	2.45079821184723e-05	T/NK1	DOCK10
PRDM1	5.6621537614903e-08	0.309451547951938	0.843	0.8	0.000113243075229806	T/NK1	PRDM1
AAK1	7.04806153183878e-07	0.268037253557695	0.807	0.79	0.00140961230636776	T/NK1	AAK1
CD53	1.62186096070302e-06	0.269075192258069	0.922	0.874	0.00324372192140604	T/NK1	CD53
HSPD1	0.00103154225203817	0.258989158642216	0.88	0.852	1	T/NK1	HSPD1
IL7R	0	3.27925654079428	1	0.751	0	T/NK2	IL7R
KLRB1	1.19551032728152e-270	2.35426877486023	0.99	0.745	2.39102065456305e-267	T/NK2	KLRB1
DPP4	9.8074277391525e-217	1.07286372090685	0.955	0.71	1.9614855478305e-213	T/NK2	DPP4
TTC39C	9.45204287547626e-208	1.3960857915137	0.986	0.756	1.89040857509525e-204	T/NK2	TTC39C
LTB	2.81398823434643e-173	1.59747011390565	0.957	0.89	5.62797646869286e-170	T/NK2	LTB
THY1	1.98221403559116e-167	0.472531350234835	0.907	0.728	3.96442807118233e-164	T/NK2	THY1
ODF2L	1.34122830867961e-157	1.36233783420058	0.992	0.727	2.68245661735922e-154	T/NK2	ODF2L
PDE4D1	4.35958429021986e-145	1.24861862188072	0.992	0.931	8.71916858043973e-142	T/NK2	PDE4D
CFH	6.78754953632005e-129	0.577201151687376	0.807	0.844	1.35750990726401e-125	T/NK2	CFH
RPLP1	5.0972550361722e-124	1.00378663547057	1	0.998	1.01945100723444e-120	T/NK2	RPLP1
HPGD	6.97667045751973e-119	0.539576578098408	0.957	0.675	1.39533409150395e-115	T/NK2	HPGD
S100A4	7.18787975117328e-116	1.43419123118267	1	0.972	1.43757595023466e-112	T/NK2	S100A4
IL18R1	5.47869671449098e-114	0.703961394942538	0.887	0.738	1.0957393428982e-110	T/NK2	IL18R1
TRAT11	1.27435426326316e-102	0.868636835377522	0.961	0.749	2.54870852652632e-99	T/NK2	TRAT1
CAMK4	2.82620011969043e-100	0.859061404317626	0.903	0.633	5.65240023938087e-97	T/NK2	CAMK4
ANKRD28	1.95031273256362e-95	0.95552267766959	0.988	0.776	3.90062546512724e-92	T/NK2	ANKRD28
RCAN31	2.19809219794363e-91	0.892062879498334	0.959	0.839	4.39618439588727e-88	T/NK2	RCAN3
MYBL11	9.31716871645751e-90	0.838782671023705	0.965	0.83	1.8634337432915e-86	T/NK2	MYBL1
CD21	2.76196460616205e-83	0.993661051878084	0.992	0.919	5.5239292123241e-80	T/NK2	CD2
CD961	1.58076776842252e-82	0.945803317147811	0.981	0.819	3.16153553684504e-79	T/NK2	CD96
PLAC8	8.51592824872871e-80	0.59047866957505	0.953	0.724	1.70318564974574e-76	T/NK2	PLAC8
CD3D1	1.56609896066595e-79	0.896593892304263	0.981	0.837	3.1321979213319e-76	T/NK2	CD3D
ANXA11	4.10696721867092e-77	1.31485513138776	0.998	0.961	8.21393443734184e-74	T/NK2	ANXA1
LINC018711	1.16943512061598e-74	0.860535141824673	0.953	0.77	2.33887024123197e-71	T/NK2	LINC01871
PHLDA1	1.32866280248373e-74	1.03384372603606	0.977	0.824	2.65732560496746e-71	T/NK2	PHLDA1
TOB1	8.0390668445014e-73	0.944862487470958	0.992	0.85	1.60781336890028e-69	T/NK2	TOB1
CDC14A	8.74217710806486e-73	0.827490627404832	0.924	0.779	1.74843542161297e-69	T/NK2	CDC14A
TNFAIP31	3.45611588843559e-71	1.1096729397455	0.994	0.91	6.91223177687118e-68	T/NK2	TNFAIP3
ETS11	2.62002235387635e-67	0.864404538150226	0.986	0.828	5.2400447077527e-64	T/NK2	ETS1
RPS12	7.86958917429581e-67	0.724473654777767	1	0.994	1.57391783485916e-63	T/NK2	RPS12
RPL13	1.63739026529625e-66	0.605543611018641	1	0.994	3.2747805305925e-63	T/NK2	RPL13
EEF1A1	1.73849575974315e-65	0.565914788241992	1	0.998	3.4769915194863e-62	T/NK2	EEF1A1
IFI44	2.3680254517473e-64	0.475412414947011	0.872	0.683	4.73605090349461e-61	T/NK2	IFI44
TSC22D31	5.0763563643287e-64	0.964649450984011	0.998	0.927	1.01527127286574e-60	T/NK2	TSC22D3
ABCB1	5.03520222282027e-63	0.515030533142396	0.924	0.633	1.00704044456405e-59	T/NK2	ABCB1
RPL281	4.21824488803664e-57	0.594273705338831	1	0.982	8.43648977607328e-54	T/NK2	RPL28
LAYN	2.8526634337107e-56	0.292008838927595	0.786	0.732	5.7053268674214e-53	T/NK2	LAYN
ELK3	1.07665336585728e-55	0.529169642149674	0.938	0.787	2.15330673171457e-52	T/NK2	ELK3
CD3E1	9.39881028162894e-53	0.6541284046119	0.944	0.807	1.87976205632579e-49	T/NK2	CD3E
TRBC21	3.7184142217315e-52	0.767256306567167	0.975	0.893	7.43682844346299e-49	T/NK2	TRBC2
RPS19	5.73352721632249e-52	0.619748936467768	0.998	0.987	1.1467054432645e-48	T/NK2	RPS19
RPLP0	9.2969632913054e-51	0.729894320671704	0.996	0.954	1.85939265826108e-47	T/NK2	RPLP0
IL321	1.93744158835256e-49	0.69474135370724	0.969	0.785	3.87488317670511e-46	T/NK2	IL32
PDE3B	1.21685359337219e-48	0.505783530968037	0.926	0.681	2.43370718674437e-45	T/NK2	PDE3B
TIFA	5.64870306023181e-48	0.36760515441125	0.932	0.709	1.12974061204636e-44	T/NK2	TIFA
PLCB1	2.02490623737521e-47	0.355102309115769	0.897	0.66	4.04981247475043e-44	T/NK2	PLCB1
RETREG1	8.37339828103246e-47	0.411997281073217	0.798	0.625	1.67467965620649e-43	T/NK2	RETREG1
CD521	3.03329389290982e-46	0.525550528845624	0.969	0.929	6.06658778581964e-43	T/NK2	CD52
TPT1	1.54612467395163e-45	0.482988966829612	1	0.997	3.09224934790326e-42	T/NK2	TPT1
CD3G1	6.07623698960252e-45	0.535937037356211	0.951	0.833	1.2152473979205e-41	T/NK2	CD3G
RUNX2	6.62963639971587e-45	0.376286334934205	0.724	0.581	1.32592727994317e-41	T/NK2	RUNX2
HNRNPAB	1.20449708609178e-44	0.378510142132985	0.979	0.734	2.40899417218357e-41	T/NK2	HNRNPAB
FAM107B	2.01153168326878e-44	0.749489410278395	0.971	0.898	4.02306336653756e-41	T/NK2	FAM107B
RGCC1	3.4572942145851e-43	0.561436003867512	0.986	0.789	6.9145884291702e-40	T/NK2	RGCC
RPL3	1.522099708899e-42	0.511800923250915	1	0.985	3.04419941779799e-39	T/NK2	RPL3
RPS6	4.33588340609761e-42	0.536455721409118	1	0.994	8.67176681219521e-39	T/NK2	RPS6
RPS21	2.72728958739181e-40	0.496994662861849	0.994	0.971	5.45457917478362e-37	T/NK2	RPS21
TAGAP	4.58253306111136e-39	0.449146304761929	0.99	0.839	9.16506612222272e-36	T/NK2	TAGAP
STAT41	5.06999203615816e-39	0.445839417924207	0.947	0.746	1.01399840723163e-35	T/NK2	STAT4
RPS4X	3.87383178685493e-38	0.488183038547914	1	0.992	7.74766357370987e-35	T/NK2	RPS4X
PTPN221	4.59826261725085e-38	0.368786593617991	0.979	0.789	9.1965252345017e-35	T/NK2	PTPN22
S100A101	5.16553321352e-37	0.674773270480565	0.994	0.955	1.033106642704e-33	T/NK2	S100A10
SORL1	8.21693745412871e-37	0.40265229085767	0.914	0.688	1.64338749082574e-33	T/NK2	SORL1
ABRACL	1.38059693940292e-36	0.628439279728594	0.953	0.854	2.76119387880584e-33	T/NK2	ABRACL
MCAM	1.45473997341069e-36	0.34704741227093	0.802	0.754	2.90947994682137e-33	T/NK2	MCAM
RPL14	1.5682113225564e-36	0.530166650736525	1	0.992	3.13642264511281e-33	T/NK2	RPL14
RPL5	4.24243331086686e-36	0.498099502573254	1	0.991	8.48486662173373e-33	T/NK2	RPL5
EEF1B2	6.41014193406708e-36	0.542648290341062	1	0.977	1.28202838681342e-32	T/NK2	EEF1B2
INPP4B1	1.31454473561023e-35	0.449021175821839	0.909	0.82	2.62908947122047e-32	T/NK2	INPP4B
RPSA	1.46380188485515e-34	0.535219282496046	0.994	0.974	2.92760376971029e-31	T/NK2	RPSA
RPS14	2.84744917403544e-34	0.444551793909868	1	0.999	5.69489834807088e-31	T/NK2	RPS14
LEPROTL11	3.90563126079379e-34	0.50396687281484	0.975	0.885	7.81126252158757e-31	T/NK2	LEPROTL1
RPL39	4.04782244756502e-34	0.4615533081854	0.998	0.985	8.09564489513003e-31	T/NK2	RPL39
RPS28	1.12547885684922e-33	0.411815988662815	1	0.983	2.25095771369844e-30	T/NK2	RPS28
CXCR41	1.69390095747382e-33	0.472699725354985	0.996	0.917	3.38780191494763e-30	T/NK2	CXCR4
RPL18A	4.32685177901419e-33	0.444306023607418	1	0.985	8.65370355802838e-30	T/NK2	RPL18A
PERP	4.95242989517638e-33	0.286932333537251	0.887	0.683	9.90485979035277e-30	T/NK2	PERP
RPS18	2.32799533872473e-32	0.402024542961522	1	0.988	4.65599067744945e-29	T/NK2	RPS18
SYNE21	1.12119815562092e-31	0.545789570165967	0.979	0.882	2.24239631124184e-28	T/NK2	SYNE2
CD481	1.30200176351791e-31	0.474411032785112	0.986	0.893	2.60400352703582e-28	T/NK2	CD48
MPZL3	2.99175358367941e-31	0.277224035194906	0.84	0.704	5.98350716735881e-28	T/NK2	MPZL3
